BRAND,MODEL,VARIANT,MPG,TRANSMISSION,DOORS,SUBMODEL,MSRP
Acura,MDX,SH-AWD w/Technology Package 4dr SUV AWD (3.5L 6cyl 6A),Highway:27;City:18,AUTOMATIC,4,MDX SUV,48565
Acura,MDX,SH-AWD w/Technology and Entertainment Packages 4dr SUV AWD (3.5L 6cyl 6A),Highway:27;City:18,AUTOMATIC,4,MDX SUV,50565
Acura,MDX,SH-AWD w/Advance and Entertainment Packages 4dr SUV AWD (3.5L 6cyl 6A),Highway:27;City:18,AUTOMATIC,4,MDX SUV,56505
Acura,MDX,Technology and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),Highway:28;City:20,AUTOMATIC,4,MDX SUV,48565
Acura,MDX,4dr SUV (3.5L 6cyl 6A),Highway:28;City:20,AUTOMATIC,4,MDX SUV,42290
Acura,MDX,Technology Package 4dr SUV (3.5L 6cyl 6A),Highway:28;City:20,AUTOMATIC,4,MDX SUV,46565
Acura,MDX,Advance and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),Highway:28;City:20,AUTOMATIC,4,MDX SUV,54505
Acura,RDX,Technology Package 4dr SUV AWD (3.5L 6cyl 6A),Highway:27;City:19,AUTOMATIC,4,RDX SUV,39620
Acura,RDX,4dr SUV (3.5L 6cyl 6A),Highway:28;City:20,AUTOMATIC,4,RDX SUV,34520
Acura,RDX,Technology Package 4dr SUV (3.5L 6cyl 6A),Highway:28;City:20,AUTOMATIC,4,RDX SUV,38220
Acura,RDX,4dr SUV AWD (3.5L 6cyl 6A),Highway:27;City:19,AUTOMATIC,4,RDX SUV,35920
Acura,RLX,Krell Audio Package 4dr Sedan (3.5L 6cyl 6A),Highway:31;City:20,AUTOMATIC,4,RLX Sedan,56950
Acura,RLX,Navigation 4dr Sedan (3.5L 6cyl 6A),Highway:31;City:20,AUTOMATIC,4,RLX Sedan,50950
Acura,RLX,Technology Package 4dr Sedan (3.5L 6cyl 6A),Highway:31;City:20,AUTOMATIC,4,RLX Sedan,54450
Acura,RLX,Advance Package 4dr Sedan (3.5L 6cyl 6A),Highway:31;City:20,AUTOMATIC,4,RLX Sedan,60450
Acura,RLX,4dr Sedan (3.5L 6cyl 6A),Highway:31;City:20,AUTOMATIC,4,RLX Sedan,48450
Acura,TL,SH-AWD w/Technology Package 4dr Sedan AWD (3.7L 6cyl 6M),Highway:25;City:17,MANUAL,4,TL Sedan,43310
Acura,TL,Special Edition 4dr Sedan (3.5L 6cyl 6A),Highway:29;City:20,AUTOMATIC,4,TL Sedan,37530
Acura,TL,SH-AWD w/Advance Package 4dr Sedan AWD (3.7L 6cyl 6A),Highway:26;City:18,AUTOMATIC,4,TL Sedan,45510
Acura,TL,SH-AWD 4dr Sedan AWD (3.7L 6cyl 6A),Highway:26;City:18,AUTOMATIC,4,TL Sedan,39580
Acura,TL,Technology Package 4dr Sedan (3.5L 6cyl 6A),Highway:29;City:20,AUTOMATIC,4,TL Sedan,39760
Acura,TL,SH-AWD w/Technology Package 4dr Sedan AWD (3.7L 6cyl 6A),Highway:26;City:18,AUTOMATIC,4,TL Sedan,43310
Acura,TL,4dr Sedan (3.5L 6cyl 6A),Highway:29;City:20,AUTOMATIC,4,TL Sedan,36030
Acura,TL,Advance Package 4dr Sedan (3.5L 6cyl 6A),Highway:29;City:20,AUTOMATIC,4,TL Sedan,41960
Audi,A4,2.0T Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,4,A4 Sedan,39400
Audi,A4,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,4,A4 Sedan,35900
Audi,A4,2.0T Prestige quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,4,A4 Sedan,44700
Audi,A4,2.0T Prestige quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,4,A4 Sedan,43500
Audi,A4,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,4,A4 Sedan,34700
Audi,A4,2.0T Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,4,A4 Sedan,38200
Audi,A4,2.0T Premium Plus 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:32;City:24,AUTOMATIC,4,A4 Sedan,37300
Audi,A4,2.0T Prestige 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:32;City:24,AUTOMATIC,4,A4 Sedan,42600
Audi,A4,2.0T Premium 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:32;City:24,AUTOMATIC,4,A4 Sedan,33800
Audi,A5,2.0T Prestige quattro 2dr Coupe AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,2,A5 Coupe,48200
Audi,A5,2.0T Premium Plus quattro 2dr Coupe AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,2,A5 Coupe,43300
Audi,A5,2.0T Premium quattro 2dr Coupe AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,2,A5 Coupe,40200
Audi,A5,2.0T Prestige quattro 2dr Coupe AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,2,A5 Coupe,49400
Audi,A5,2.0T Premium Plus quattro 2dr Coupe AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,2,A5 Coupe,42100
Audi,A5,2.0T Premium quattro 2dr Coupe AWD (2.0L 4cyl Turbo 6M),Highway:32;City:22,MANUAL,2,A5 Coupe,39000
Audi,A6,3.0T Prestige quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),Highway:27;City:18,AUTOMATIC,4,A6 Sedan,57900
Audi,A6,3.0T Premium Plus quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),Highway:27;City:18,AUTOMATIC,4,A6 Sedan,55100
Audi,A6,2.0T Premium Plus 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:33;City:25,AUTOMATIC,4,A6 Sedan,47400
Audi,A6,2.0T Premium quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,4,A6 Sedan,45200
Audi,A6,2.0T Premium Plus quattro 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Highway:29;City:20,AUTOMATIC,4,A6 Sedan,49500
Audi,A6,2.0T Premium 4dr Sedan (2.0L 4cyl Turbo CVT),Highway:33;City:25,AUTOMATIC,4,A6 Sedan,43100
Audi,A8,L TDI quattro 4dr Sedan AWD (3.0L 6cyl Turbodiesel 8A),Highway:36;City:24,AUTOMATIC,4,A8 Diesel,82500
Audi,A8,L W12 6.3 quattro 4dr Sedan AWD (6.3L 12cyl 8A),Highway:21;City:13,AUTOMATIC,4,A8 Sedan,135900
Audi,A8,L 4.0T quattro 4dr Sedan AWD (4.0L 8cyl Turbo 8A),Highway:26;City:16,AUTOMATIC,4,A8 Sedan,87600
Audi,A8,4.0T quattro 4dr Sedan AWD (4.0L 8cyl Turbo 8A),Highway:28;City:17,AUTOMATIC,4,A8 Sedan,83900
Audi,A8,L 3.0T quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),Highway:28;City:18,AUTOMATIC,4,A8 Sedan,78800
Audi,A8,3.0T quattro 4dr Sedan AWD (3.0L 6cyl S/C 8A),Highway:28;City:18,AUTOMATIC,4,A8 Sedan,75100
Audi,Q5,2.0T Premium quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),Highway:28;City:20,AUTOMATIC,4,Q5 SUV,37300
Audi,Q5,2.0T Premium Plus quattro 4dr SUV AWD (2.0L 4cyl Turbo 8A),Highway:28;City:20,AUTOMATIC,4,Q5 SUV,41200
Audi,Q5,3.0T Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),Highway:26;City:18,AUTOMATIC,4,Q5 SUV,51900
Audi,Q5,3.0T Premium Plus quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),Highway:26;City:18,AUTOMATIC,4,Q5 SUV,44400
Audi,R8,V10 quattro 2dr Coupe AWD (5.2L 10cyl 7AM),Highway:22;City:13,AUTOMATED MANUAL,2,R8 Coupe,160300
Audi,R8,V8 quattro 2dr Coupe AWD (4.2L 8cyl 7AM),Highway:23;City:14,AUTOMATED MANUAL,2,R8 Coupe,124000
Audi,R8,V10 quattro 2dr Coupe AWD (5.2L 10cyl 6M),Highway:19;City:12,MANUAL,2,R8 Coupe,151200
Audi,R8,V10 Plus quattro 2dr Coupe AWD (5.2L 10cyl 7AM),Highway:22;City:13,AUTOMATED MANUAL,2,R8 Coupe,179645
Audi,R8,V10 Plus quattro 2dr Coupe AWD (5.2L 10cyl 6M),Highway:19;City:12,MANUAL,2,R8 Coupe,170545
Audi,R8,V8 quattro 2dr Coupe AWD (4.2L 8cyl 6M),Highway:20;City:11,MANUAL,2,R8 Coupe,114900
Audi,RS 5,quattro 2dr Convertible AWD (4.2L 8cyl 7AM),Highway:22;City:16,AUTOMATED MANUAL,2,RS 5 Convertible,77900
Audi,RS 7,Prestige quattro 4dr Sedan AWD (4.0L 8cyl Turbo 8A),Highway:27;City:16,AUTOMATIC,4,RS 7 Sedan,104900
Audi,S5,Prestige quattro 2dr Coupe AWD (3.0L 6cyl S/C 7AM),Highway:28;City:18,AUTOMATED MANUAL,2,S5 Coupe,59650
Audi,S5,Premium Plus quattro 2dr Coupe AWD (3.0L 6cyl S/C 6M),Highway:26;City:17,MANUAL,2,S5 Coupe,52000
Audi,S5,Premium Plus quattro 2dr Coupe AWD (3.0L 6cyl S/C 7AM),Highway:28;City:18,AUTOMATED MANUAL,2,S5 Coupe,53400
